id;Ativo;Qtde;Valor_Unit;_Data_;Ord;Identificador;Corretagem;Emol;Tx
1;BPAN4;100;1.92;2017-08-03;C;BANCO_PAN_/_RECRUSUL;17.67;0.01;1.94
2;RCSL4;200;0.8;2017-08-03;C;BANCO_PAN_/_RECRUSUL;14.73;0.00;1.61
3;SAPR4;33;10.66;2017-08-09;C;SANEPAR_/_BANCO_PAN_/_RECRUSUL;21.15;0.02;2.35
4;BPAN4;100;1.89;2017-08-09;V;SANEPAR_/_BANCO_PAN_/_RECRUSUL;11.37;0.01;1.26
5;RCSL4;200;0.73;2017-08-09;V;SANEPAR_/_BANCO_PAN_/_RECRUSUL;8.78;0.01;0.98
6;SAPR4;20;10.58;2017-08-15;C;SANEPAR;8.90;0.01;1.00
7;SAPR4;40;10.33;2017-08-17;V;SANEPAR;8.90;0.02;1.06
8;TAEE11;17;22.8;2017-08-18;C;TAESA;8.90;0.01;1.05
9;ITSA4;33;9.5;2017-09-01;C;ITAUSA;8.90;0.01;1.03
10;MGLU3;128;2.64;2017-09-08;C;MAGAZINE_LUIZA;8.26;0.01;0.97
11;TAEE11;17;22.95;2017-09-08;V;MAGAZINE_LUIZA;9.54;0.02;1.13
12;KNRE11;30;10.67;2018-02-20;C;AES_TIETE_/_KNRE11;9.17;0.01;1.06
13;TIET4;10;2.39;2018-02-20;C;AES_TIETE_/_KNRE11;0.68;0.00;0.08
14;TIET4;90;2.38;2018-03-06;C;AES_TIETE;8.90;0.00;1.00
15;ITSA4;17;12.15454545;2018-03-20;C;ITAUSA;8.90;0.00;1.00
16;SAPR4;13;11.16;2018-04-05;V;SANEPAR;8.90;0.00;0.98
17;TIET4;60;2.17;2018-05-10;C;AES_TIETE;8.90;0.00;0.88
18;ITSA4;24;10.32727273;2018-05-29;C;ITAUSA;8.90;0.01;0.91
19;ITSA4;26;9.65;2018-07-06;C;ITAUSA_/_KNRE11;2.83;0.01;0.34
20;KNRE11;55;9.8;2018-07-06;C;ITAUSA_/_KNRE11;6.07;0.02;0.72
21;KNRE11;85;9.6;2018-09-06;V;KNRE11;8.90;0.01;0.00
22;ITSA4;22;9.47;2018-09-12;C;ITAUSA_/_TAESA;2.90;0.01;0.06
23;TAEE11;50;19.49;2018-09-12;C;ITAUSA_/_TAESA;13.54;0.04;0.26
24;BBSE3;7;25.87;2018-10-05;C;BBSEGURIDADE;7.50;0.72;0.04
25;BBSE3;12;26.6;2018-10-22;C;TIET4/BBSE3;13.39;0.01;0.08
26;TIET4;160;2.09;2018-10-22;V;TIET4/BBSE3;14.02;0.02;0.09
27;CIEL3;100;9.35;2018-12-06;C;Cielo;10.96;0.03;0.25
28;HBOR3;200;1.46;2018-12-07;C;HELBOR;10.96;0.01;0.08
29;FJTA11;100;2.99;2019-01-15;C;FJTA11;10.96;0.01;0.08
30;FJTA11;100;1.00;2019-01-16;V;FTJA11;10.96;0.00;0.02
31;ABCP11;6;93.05;2019-02-01;C;ABCP11_FUNDO;16.20;0.01;0.09
32;BIDI11;9;37.89;2019-07-05;C;BANCO_INTER;7.50;0.01;0.89
33;MGLU3;36;9.13;2019-08-06;C;MAGAZINE_LUIZA;8.30;0.01;0.09
34;ABCP11;6;100.23;2019-08-06;V;ABCP11;11.56;0.02;0.16
35;MGLU3;60;9.41;2019-08-09;C;MAGAZINE_LUIZA;8.30;0.02;0.15
36;ITSA4;9;12.4;2019-10-04;C;ITAUSA;8.30;0.00;0.03
37;MGLU3;80;12.32;2019-12-16;C;MGLU3;8.30;0.03;0.27
38;HBOR3;200;4.26;2019-12-19;V;HELBOR;11.06;0.03;0.23
39;MGLU3;108;10.11;2020-03-13;C;MGLU3;8.30;0.03;0.30